labels,text
fear,"Word up, Rev! RT  Not afraid of tomorrow for I have seen yesterday and I love today less "
joy,Oh good my friend who was coming to my Christmas party with me now can't come! 
fear,"miss geng- clan , bila la aku bole join korang ? / "
fear,is the wrong use of imagination. It is anticipating the worst not the best. WGTB 
joy,The shell must break before the bird can fly. ~Alfred Tennyson for and - amwriting A book today! 
joy,"quotLife's better when you share it with others, especially when they don't know what can give them fulfillment. quot "
anger,My fb is running so slow I'm close to punching the screen 
surprise,Who knew muffin tops could be so delicious? 
fear," not afraid of tomorrow, for I have seen yesterday and I love today lessquot "
anger,"- is short, live it. is rare, grab it. is bad, dump it. Fear is awful, face it. Memories are sweet, cherish them. "
surprise,I'm surprised  woke up this early to take me to school 
surprise,"Van Spanje tot down under staat een klaar, gelukkig zonder aldaar. Van te voren alles op een rij dat maakt je toch blij "
fear, I will not be attending today due to severe shame hangover. I will send my best wishes though. Love'n'bubbles 
sadness,Dixieland Delight is on the radio imissYL 
sadness,Just received a brand new but it seems to hate my SIM card. support tells me they don't know whats wrong ( 
surprise,Surprise ny tu g penting lah RT  Iyaa siih selama pake provider si merah tiap hari dapet surprise -______- 
surprise,My oldest son woke up early to make me tea. 
surprise,Hè hè net % klaar van morgen nog schilderen 
anger,"A blind man trying to find his way o the toillet . . . On a moving train, stumbles a lil and indian woman mumbles hes drunk. . HES BLIND "
joy,The thought of walking to school in that wind tomorrow. sarcasm 
joy,Up early to coach games all day. 
joy,Finishing up laundry then all night in the library 
fear,Infiltration in our lives. The illusion of so we accept their political Solutions. 
joy,☼ HAPPY THANKSGIVING to ALL of YOU! ☼ Continue to share YOUR Light! ☼ 
disgust,Been eating chocolate for a year this weekend. 
surprise,Aw that just made my night win 
fear," not afraid of tomorrow, for I have seen yesterday and I love today less» "
joy,THIS IS da month where my sleeping schedule gets fucked because of culminatings amp exam studying. -) 
joy,Love driving home and seeing our Christmas lights on. . . memories 
surprise, RT  ThatAwkwardMomentWhen  comes home from college and greets you. . . In the shower. . . . . . ” 
anger,"Don't get the impression that you arouse my anger. You see, one can only be angry with those he respects. ~Richard M. Nixon "
surprise,Dropping off Starbucks at my best friends house. 
surprise,"You never cared, because you had her this whole time! I was just the side show, again! winning "
disgust,! RT  I FUCKING HATE PUBLIC amp SCHOOL BATHROOMSSSSS ! ! Themm shitsss ME ! 
anger,effin' school blocks. . . every seconds I get a request for an administrator's password. GRRRRRRR! ! ! 
joy,Huddersfield lost at last. Our friend will be delighted as her husband will now shave his terrible beard off now the unbeaten run ended 
anger,SCREW YOU ONTARIO COLLEGES SITE! ! YES I KNOW ANOTHER PERSON BY MY NAME HAS MY ACCOUNT. THAT PERSON IS ME! ! LET ME SIGN IN AND APPLY! 
surprise,Happy birthday  bart loveyou 
joy,I have to get up at in the morning and drive back to Smyrna . 
joy,"In for the night! ! Coffee in hand, sweats on and Buble Christmas on Pandora. "
joy,"Retreat is over (, apptm downtown then dance, ughhh long days "
sadness,"Missed the bus '( cold, bored amp on my todd sidefringe "
surprise, In preparation for finals I used a new face wash. . . I was allergic now I have a rash all over jokesOnMe 
surprise,Also wondering who saw me making out with her at the bar last night. I'm bi! Lol 
joy,Having a bit of 'me time' and getting my roots sorted out tonight. . . so they match the colour of the rest of my hair -) 
surprise,Sinterklaassurprise van de dag Vitesse legt Jonathan Reis vast. hoortwiekloptdaarkinderen 
joy, having a long hot soak in the bath using my candied ginger scrub and body butter . . . x 
joy,Will be in my studio by the end of the year. bliss photography 
disgust,suck my fucking dick! 
joy," Tree up, Xmas music on, dog curled up in front of the fire and a perfect roast dinner with my husband. That brings me "
joy,Scraping the ice off the windows at half five. 
joy,Hanging out with nick tomorrow. Than going to liams play. . . 
sadness, nooott even dey jus can't get enough so they cheat when one pussy is not available dey go hunt ah suh mi see it! 
joy, You should have a Family Happy Heartbeats Counter to count and share your daily minutes of Happiness. lets talk 
surprise,Ohhhh dit wordt heel erg heeeeeeeeeeel erg mooi . . . . . . . 
disgust,I hate these hipsters that are occupying Wall Street. Get a job! 
joy,Feel numb and sick. . . 
surprise,Feeling slightly rough. Pleased I didn't end up down Barra 
surprise," they conveniently left the part out about the books and electronic equipment that was thrown in the trash, "
surprise,Mfs talkin freaky already I guess we finna start sendin pics. . . she in a 
sadness,Your my parents. I shouldn't have to change to make you love me. You should love me as I am. whydoyoudothistome? 
joy,Being on a diet means I can't eat food. But that's not going to stop me from watching food tv shows! 
surprise,"States have Energy Efficiency policies. Yes - TX, AR, NC, VA, MD. No- GA, TN, MS, LA, FL, SC, KY no "
surprise,Hmm. I don't hate Finn's voice in this last song. glee 
joy,Spending the day with my Nana and aunt! 
sadness,having my heart broken. . . I hope to never go through a pain like that again. 
sadness,Been up all night. . I dozed off once n woke up n thought it all was a dream. But then I realized he was really gone 
sadness, I always miss it when you are on replying to people! oh well maybe next time lt 
joy,"Churchhhh! Then EXAM stuff, and making dang cookies. "
fear,"This year I don't intend to drive in the snow, and ESPECIALLY not on the motorway. RESPECT mother nature "
surprise,"Note pour plus tard, ne pas freiner trop fort quand la route est mouillée. "
joy,"Good morning Twiterland, we are here! Sending you compassion peace to all. Happy Furday ) purr "
joy,Is it okay to have a holy spirit party at work? overflow 
fear,has told U not to amp not to be afraid. That should be good enough reason for you to enter this day with fearless confidence. 
joy,The nip in the air reminds me that christmas is here 
sadness,"Such a sad day when my first boss, and owner of Newberry's one screen theatre, dies. crazymanbutmissyouanyway "
joy,Its perfect time for long beach walk love slight cooling wind and the best view of iconic Table Mountain when the sun sets 
surprise, Who said anything about Oxford? Who did you think that extra place setting is for? 
surprise,everything's coming together ! ! ! let the countdown begin days left ) 
fear,This things appear to be true but I know for sure its false 
joy,Caledonia parade tonight! ! Some how gotta get happy and smile for all those ppl! 
fear,"When I was an adoption agent, we put folk thru the RINGER to get kids. But any old Travionica Jenkins can bust em out. And KEEP them. "
surprise,My aunt is coming from for a visit during What a nice that will be! ! 
anger,"ooooh,I was on fire on the bus today! "
fear,"My babe is MIA think my crying earlier, caused stress . . . hope he didn't go out amp do something dumb "
surprise,Simple Ideas For DIY Baby Surprise Containers 
fear,Nothing hurts  worse than taking away what he loves to do most. . . Put in quarterbacks on Sunday. Lions 
joy,I kind of adore Conway! So much fun and full of my favorite people! Met with Shelley Kelley and  Now lunch w/  
surprise,Sherry rehman appointed new ambassador to US pakistan 
sadness,Oh I just got home and find out that I could of gone to the surprise at | 
fear,I hate the Dentist. . . With a passion. . . 
fear,wake up in the morning eat some flakes buck up go to work for poverty wages send your kids to FEAR war get sick go broke repeat. 
anger,"If u fly off the handle easily and for silly reasons, you have Issues get help! Temporary solutions seldom work! "
joy,Writing lesson plans for the rest of the day 
anger," but, Everything there is an exception, then there is a term sometimes we need to do the 'necessary futility' ) re "
joy,Meeting  on my birthday a few years back 
anger,Problem with most mission kids is that they only care about themselves. 
surprise,It's a good day when  shows up at your door! ! ! 
anger,If I have time to tweet in line fuck sakes woman you're taking too Dam long. Just strip down put it on and I'll tell you . 
disgust," I agree, shocking management needs to have consequences! We will not be renewing our Box tickets for Season! "
fear,This sound guy is so fucking fired. 
joy,Our meet hasnt even started yet. . minutes late 
sadness,Regrets not buying a raf fair isle this season 
anger,quotAnger and intolerance are the twin enemies of correct understandingquot 
sadness,That awkward moment when you feel like you've killed a good conversation. . / 
sadness,"Goodbye snow, here's the rain ☔ "
surprise,YAYYYY my brothers comin home tonight 
joy,Hearing my Opera friends practice makes me wish I could sing tiss the Messiah season lots of singing. . . trying to see as many as I can 
joy, makes me happy I love their lipsticks muchnbett than high end mac! 
joy,just bought our christmas tree! let the decorating begin! 
joy,And my pudding's in days. . RT  My honey's birthday in days. . . ♥ 
sadness,Can't believe that we have to go back to school tomorrow. . . . ruinseverything 
surprise, good ill tell you why I don't want to show up next time I see you haha 
joy,Time to get started on this make-up work from missing days of school. 
anger,Why can I beat  and  in fantasy football? rematch imthrowingtheredflag 
fear,Value and source of we know God knows of the Lord Job RCCAtlBible 
sadness,What is a mid season finally and why is The Walking Dead doing it? 
anger,Don't bury your until you've killed it. When you bury quotliving angerquot it functions as a seed amp grows into a Bitterness Tree. 
fear,"You know that scary realization you are not going to make it until your next paycheck? Yeah, that. Payday is a painful days away. "
surprise, I would neever lie to you. . He's not back yet. . But the forecast for next saturday calls for a little salt so who knows. 
surprise,Cant wait until the mail comes tomorrow.  knows. . 
anger,rest in the bosom of a FOOL! 
sadness,people let high school change them way too easily. 
sadness,No Pan Am tonight. . . T. Swift is super awkward btw. . weird 
joy,My boss at the YMCA found out I'm crafty so I got to setup and decorate six Christmas trees today. . . 
sadness,Hopes amp dreams were crushed. . . push me down some stairs. . . now -___- depression Why mess with my head? ! ! ? 
joy,If the whole world is against me but be for me. . . I still have the majority! FEAR NOT Jesus 
sadness, You might as well. I can't eat the food  likes to make. 
joy,Ugh About That Time To Go To Work. 
anger,At home sick and today is the day they decide to test the fire alarms in my apartment building 
surprise,"While my man played video games, I cleaned his whole house. awardedbestgirlfriend "
joy,Starbucks in a little to work on project with friends 
surprise,"Solo, en la habitacion de  esperando a que me deje salir XD "
joy,Assignments due Thanksgiving day. . . seriously . . . no break with online classes 
anger,"My roommates hate me. They took away my nap. I am always kind, and this is what happens. This is detrimental to my day. "
surprise, Getting Bop's for the family. bestdaughterever” where's mine? ? 
joy,sitting in my room with the flashing disco ceiling light. 
sadness,Better get my butt to bed. No sleeping in tomorrow. 
joy,i guess i will do my paper tonight. . . on a saturday night 
sadness,My inner clock woke me up  i dont have class till 
joy,"Note to self. Complaining about things at work, always makes it worse! Oh look. We got flooded cause a pipe burst! "
sadness,"has a broken thumb on throwing hand. Out - weeks, exams/likely surgery tomorrow. depression "
joy,Christmas party at my dads work tomorrow 
joy," I bet! Yeah not bad thanks, just about to do the daily commute "
sadness,I look at her pictures every night. I miss her so much. Why did I do this. 
anger,Arrrhhh this poor excuse for a laptop is getting on my tits! ! ! ! ! ! ! Going jail for killing a laptop. . . . . . . Whats the years? ! ! 
surprise,my cousin doesnt appreciate me licking the chocolate off her phone! ? ! ? tastytweet 
joy,Early morning and a test 
joy,"That moment when you listen to God, and you see the result. "
anger,Not a good few days by any means sadness heartbreak never felt so alone in my entire life compared to right now…. wtf fml 
surprise, when Matilda shoots the carrot into her brothers mouth 
sadness,My monopoly ticket things from McDonalds expired ( 
disgust,Hahaha! He is prolly ordering Rock Bitch right fucking now. 
joy,found out I need to have physiotherapy on my neck. . . . 
joy,black friday shopping at target was sleep for about an hour then off to northlake for more black friday shopping 
fear," Don't know many who can take a cancer diagnosis lightly, too much uncertainty anxiety bcsm "
fear, I was terrified as well. It made me not ever want to celebrate Christmas in Middle Earth. 
surprise,"DUM MAARO DUM movies Slick, Scandalous, Cool AND hardly embarrased of the fact that it aspires to be so. . "
fear, Thanks all the hard work. Can't wait rewatch on dvd when available. 
surprise,"RT, follow  and WIN one of the special collector items that we are giving away to our Twitter friends! RT WIN "
joy,Let go of the belief that life is about lessons or that is what you'll get. How about life is for JOY? ) BLISS 
surprise,Love when my mom comes in as a guest speaker 
sadness,Dear  Bummer! Been in Ellwood City all weekend with  and family. Good times but i sure do miss you guys 
sadness,I think I will be reduced to tears at Westlife's farewell tour next year ( 
surprise,Pizza man suspending presadenticail surprise he fuckin sexual assultar 
sadness,This awkward moment that you woke up happily then ended up annoyed and sad with a fight with him. 
joy,"Ortho appointment tomorrow, staying after school for ap art amp kickboxing  "
sadness,Listening to Wiz Khalifa makes it feel like summer again 
sadness,Bringing my computer to the computer doctor ( Hopefully I can take it home tonight! 
joy,Choir concert tonight. 
surprise,Just found a cream egg hiding in my fridge. 
joy,Currently working on a few things to get ready to push out our next issue. Big plans for next year as well D 
joy,Spent my Friday night writing a debate paper for genetic engineering. On top of that. . . ACT in the morning 
fear," not afraid of tomorrow, for I have seen yesterday and I love today less” "
sadness,lt---- My awesome theme for me solo piece ) lt---gt ( 
surprise,Its Friday! Gonna be an awesome day with  ! 
joy,on vacation today amp tomorrow) already half way through Christmas shopping)! 
joy,Can't wait for church tomorrow Worshipping and Praising and sing all for a man that helped me In my trouble and good times 
surprise,I don't want to put the  ornament on me tree. . . I just want to put  under my tree. . ! ! Yeahhbuddy. . lol 
surprise," we'll skip out on the whole telling alec part, then when he walks down the hall and see you we can yell "
joy," ewwww, I know what you mean, when do you start ampamp finish? I already started last week ampamp I finish in like more weeks. "
sadness,All I listen to lately is mayday parade. 
sadness,GUYS! On the TV guide it said on the spot was on so I of course clickes but it WASNT! 
fear,I turn and I see nobody but my shadow still keep my heart asking wTF. a nicca just got paranoid over his own dark side. not! GOD lives 
sadness,"days in Bed amp z current situation could only bring Tears Heartaches Nightmares,I hope i wont commit a Suicide. . "
fear,. . checking your phone in the washroom and accidentally dropping it in the toilet. . . lol 
fear," this will be my first Christmas on twitter, looking forward to / weeks of solid being tweetedxABloodSport "
surprise,"Pasta is a vegetable, right? ? ! ! Well, at least according to the can of my veggie soup it is! "
joy,Losing my hubby to a week in . . . . What do I get screaming kids and Christmas to finish sorting 
fear,remember this quotwe took your land thanks so muchquot day that we're winning the war on terror by an AMAZING margin but keep your up people 
joy, Billy Crystal would be extremely proud of me today. 
joy,zooey deschenel singing have yourself a merry little christmas. musicalgeek 
sadness, I'm glad you can tweet but not text back. 
joy,"I wish someone in my family was coming c the quotHot Chocolate Nutcracker! quot Oh well, grful for the  Dance Academy fam! "
sadness, First failure big deal! ! ! ( 
sadness, I'm not totally sober and I'm at home 
joy,Warm honey December sun and singing loud with the windows down 
sadness,You know you're getting old when your baby brother starts driving 
surprise,alweer thuis. nu snel enzo en dan opschieten en naar chiel toe 
surprise,yeah eindelijk heb ik mijn writer's block / bedenkers block omzeilt D 
sadness,  is going to make me not use twitter anymore cuz you dont love me 
fear,"En , Bayrou a dû attendre janvier pour avoir un sondage le mettant au-dessus des %. Pour , il y est déjà. "
anger,I don't even feel sorry for you. Prick. 
joy,"fuck, session tomorrow. "
sadness,I forgot to set on my dvr. I won't see  go HAM on christina aguilera or justin bieber or kelly clarkson 
joy,My this time of year  love and just SAY Xmas! WayFareHolidayParty 
fear,"Well the birthday surprise was a fail, that professor has chronic bitch face. We freaked, ran in, threw her gifts at her then ran out. "
surprise,My friends are the best ! party lt i love you all 
fear,constant growth. . . no reason to that or say nonono to that 
surprise,Guest co-hosting the   Morning Show with  this morning from a. m. to a. m. EST. Tune in! 
sadness,Ate someone elses pizza. . . A mom amp two young kids reading. They are without power. . . We feel bad. . . pizza 
surprise,Today was actually a pretty alright day! Selling my DS and games tomorrow so I can buy his christmas present ) 
joy,Nothing like a Venti solo Hot Chocolate in a Red Cup 
fear,Going to be a long long day in work. Also not looking forward to these photos from last night 
joy,The way to defeat darkness is to bring light to it. 
joy, I intend to have a reading binge once I get everything cleared away. 
fear,"sometime I don't even have to talk to my kids, I give them certain looks and they know exactly what to do. . . . . "
fear,their are spies everywhere but the fruits are so big and the land have giants. . . but the lord told you to take the land but you have 
surprise, Morgen weer de uitslag van de actie! Erg benieuwd! niet alleen naar de winnaar (hoop ik) maar ook wat de Surprise is! 
sadness,"There should be a law saying a girl should never weigh more than her boyfriend, I mean how do you work with that "
surprise,"Not only do I love left overs from last week, but I also love when they're half warm, half cold, its a fantastic "
joy,Another day in my crazy life 
fear,I hate trucks. I hate truckers. Omg. I hate trucks. 
joy,I have hrs m left of this shift then I don't have to be back here til Saturday! stillworkingbutnothere 
surprise,. - la journée de ski à et une pour nos premiers skieurs à h devant les caisses de Crans. ski snow 
surprise, ik vermoed dat die persoon net als ik nog moet beginnen. . . . klopt dat? 
anger,WHY cant u get normal chocolate MampMs at the cinema anymore? ! 
joy,I get an unexplainable from giving amp helping someone realize their greatness! Try it amp get back to me with your results! 
sadness, right. . her lips looked bout crusty as a pie edge. 
joy,Well I get to spend an hour at my dead great grandmothers house today. 
sadness, at this point I'm just looking for friends in general 
anger,Shit's keeping me from watching Dexter. Fury 
joy,Another day of school coming up while being ill. . . . . . . . . 
joy, knowing that i have to take tests in january brings me LOOL. . . having my family over and getting pressiesampa good grade 
sadness,That last sip of Starbucks Breakfast Blend. . . 
joy,done with tests this week. but i have two papers to write tonight. 
disgust,That feeling of being LIED to then hearing another LAME LIE when you ask about the first LIE! ! ! 
joy,YESgtgtgt time for everyones fav time of the year! putting up those x-mas light. 
sadness,Deactivated the account from my device. No longer tweeting for the program. It really is over. 
surprise,"klaar, nu nog een gedicht, maar dat vind ik zo'n piece of koekie, dat kan desnoods maandagmorgen nog -)) "
joy," has baffled me with their bad service this evening. Rep says I don't have to return an item, get emails saying I do. "
sadness,Missing you lots already Soumya Jain! Can't wait till you're done your degree and en route back home forever! 
surprise,"Eventjes Sinterklaas gedicht in elkaar zetten, dan rest van cadeautjes in pakken "
disgust,Mi primo kiere ligar con una bolsa de dulces de rapunsel en la mano 
joy,Got crap load of junk I think my feel are swollen 
joy,That's what I cal. . Happiness! ! RT  Playing fifa + drinking white mocha + listening to chill out music 
joy,Happiness! Dito pa din sa School naghihintay ng CI for - shift. . XD Berna Dayan Eden Jade 
surprise,     I'd plead not guilty if she's a fresher. 
joy,nearly finished all my christmas shopping D feels gooooood D Now to finish wrapping them all. . . 
fear,"The children of Israel remained in the desert for years, because they wouldn't trust God. What is doing to your future? "
sadness,Funny how some of my friends geek out with guys who are quotloadedquot (Definition of loaded to them type of car the dude drives). . HA! 
sadness,sitting here sober when other people are drunk 
joy, My HOA plows the drive ways and shovels the sidewalks. I don't have to do a THING to clear that snow D 
sadness, I second that. . this whole week will be full of coke days wellnottotallyaslongasyouhaveacokeordietcokewithlime 
sadness,"Sad day, just got denied indoor ruined my life for the next like weeks "
sadness,Thanks  you still hold the title  he's just jealous of my great looks 
joy," lol he finally listened, and is currently being a morning grump. "
joy,I had the bomb ass dinner tonight . 
sadness,"Missing my boyfriend, my family, and friends really bad tonight. "
sadness,hanging out with my mom and meme ) all that's missing is cals! 
joy,gratitude optimism  The meaning of life is whatever you ascribe it to be ~ J. Campbell    
sadness,still feeling a lil down. . its crazy how you are not here any more and all im left is memories 
surprise,Another player from the SEC wins the defensive player of year award. shocker dominance LSU 
anger,It is sad that my favorite part of the NBC tour in NY was taking a photo of the Rockefeller Center sign on the wall outside. 
anger,Iv used my monthly allowance of Internet data apparently S WTF now my iPhone is been proper slow! an cant connect to wifi. . 
disgust,Agree! ! RT  How can someone be kissing on more than one person at a one time 
sadness,Damn I wish Saints Row had a greaser gang 
sadness,Why Would you compare yourself to global warming -. - 
surprise,Can’t wait for a big surprise tomorrow! ! ! A wish is coming true at our building. wish 
anger,"Cannot concentrate on what I should be - need to burn off pent up one erotic paranormalromance shortstory, coming up. . . "
joy,christmas lights make me feel all warm and fuzzy inside. 
fear, ed io vorrei un mondo senza guerre. . La chiesa ha più potere oggi di quanto lo avesse con i precedenti governi amp shame 
surprise,I just feel like im pushing through a life that has no point right now. Where's the excitement? 
anger,We RESENT abusive behavior. We especially struggle w/those who demand both OUR FORGIVENESS amp THEIR RIGHT stay the same. 
fear,I'm so scared! Is this really how life forces certain circumstances on people? It's so hard. confused faith 
joy,Putting more color in my hair tomorrow for school amp basically Laundry plus getting ready for school again 
surprise,Santorum Fighting AIDS in Africa is essential. Humanitarian action is essential national security. Promote r values. 
anger,How the hell did Harry M leave at the same time as Harry H not even gonna bother watching the final next week 
sadness,only just realised  was on for half hour. . . wish it was on for a hour. . its goodampfunny L 
fear,"If you say your not scared of anything , it's a lie . . is in everyone . . But you have to fight it . . Because , beyond fear is victory "
joy,"This semester's nervous breakdown, right on schedule. "
joy,I think I agreed to watch someone's kids tomorrow? 
sadness,His phone is turned off now ( I won't get to talk to him until his brother gets home so he can use his phone. 
surprise, So great meeting you! kids kids amp carers were blessed wi this day. Tx for the day gifts Tx shoebox 
surprise,"Have a dream your breath smells really bad, wake up with cat throw up on your pillow. wtf "
fear,"Genghis Khan, Adolf Hitler, Benito Mussolini, Napoleon Bonaparte and LaToya Jackson all share a common of cats. "
joy,Red album cold hands and waiting for the bus 
surprise," At first did not know where article was going, but I found The New Yorker, have intriguing way of captivating readers. "
joy,"Makes me smile that I can now delete my accidental tweets from my iPhone with this new Twitter, and not have to jump on the laptop ) "
sadness,listening to paradise by  such amazing memories to this tune last weekends anthem! ! amazingtimesandmemories 
sadness,"io oggi dovevo semplicemente fare l'albero,perchè mi ritrovo a dover rimettere in ordine camera mia? "
anger,NVR GO tO BEd MAd. StAY UP ampamp FiGHt LOl. 
sadness,I really wish I had my long hair back growgrowgrow 
fear,repercussion when you go back to on holiday. rules. educating ourselves is important. Think. . it is not illigal yet! 
joy,Tonight was awful. And I get to do it tomorrow too! 
anger,"WTF PHILLIPS, I UNDERSTAND THIS SHIT, WHY DO YOU KEEP FUCKING FAILING ME ON EVERYTHING? NOWIHAVEAFUCKINGC "
surprise,school was pretty damn good today 
joy,Mediate on this the Lord your God will NEVER leave you nor forsake you. . . rest assured. . Brings uncontainable unshakable 
joy,Gonna be a long day. Starting it off taking my mom to the doctor. . 
fear,The Lord will you from all evil he will your Life Psalm God is a walk no evil for YOU are being Kept! 
sadness,"Es en noches asi q lo unico q quiero es hablar con una amigaaaa, y nadie quiere, nadie atiende, lo q sea. Me fui a ver awkward. ( "
surprise,I've made the living room into my library. It'll be like Christmas morning of finals week when my roomies wake up. 
sadness, Dude. . . I thought you were going to call me! 
sadness,"I miss middle school( dancing at those multicultural shows, getting to spend the whole day with my best friend "
sadness, it better start soon. Or this girl might die. 
joy,"Spent last hour walking round Lincoln Christmas Market, now time to drive home ! ! "
disgust,How some people live with the choices they have made is beyond me 
joy,  no fue una amiga de ustedes que se cago? RT  I just shit my pants. Pure % gravy. 
sadness,Party game! Only one more day in drama 
sadness,Thought i saw cory monteith at the bus stop. It wasnt him. 
sadness,"Dammit, I wish my friend was my girlfriend / Why can't she be bi or something "
surprise,"quotNon ce n'est pas une erreur, vous avez perçu l'intéressment par rapport à l'activité de ! quot ViveIkea "
fear,"And the of the LORD fell on all the kingdoms of the lands that were around Judah, so that they did not make war against Jehoshaphat. "
sadness,Taking a break from weed for a bit. 
surprise, are you practicing for your birthday flash mob? 
joy,Going off of a couple hours of sleep 
fear,I'm about to eat Taco Bell for the first time in over years. 
joy,Merci à la vie! 
joy,sore throat amp I feel sick to my stomach 
joy,The person is rarely selfish. multiplies. ) 
joy,Can't wait to get my wisdom teeth out Christmas Break 
joy,"Ahhh Jus Love My Girl Amy, Makes Me Laugh, Curled Mi Hair N Everything,Den Dance N Singing Video After "
joy, don't worry. . . its not like you have a heavily pregnant hormonal woman in your passenger seat. . . oh wait. . . 
surprise,"mom's homemade mac n cheese, ham, and a coors light and for dessert. . well that's a "
joy,Looks like the AGM presentation this year will be DIRE. Uppercase titles with tacky images. 
joy,Family christmas party yankeeswap 
joy,Minus three hours until cinnamon roll sales 
joy,"Show up to class an hour late, door makes loud noises when I open it, everyone turns around. "
surprise,Can't wait for tomorrow!  thank you sunshine  
fear,The pole of light outside my window is shaking violently. 
joy, absolutely love life over that pic and  thought we were weird then he learned 
joy,"SO GLAD  just took the duty bag from me! Now, I get to go work tonight until midnight. blackfriday whendutycalls "
surprise," Thanks for the shout! You're in luck, our Coral Gables location (Miami) is opening in a few days! DM me b u go in! "
sadness, ridiculous how much that tweet relates to my daily life. 
joy,A day full of homework! ! 
sadness,Damn this b ball trip isnt gonna be the same without  
fear, all right mate wanna buy a tv? fuckin do one alien imthrowinstonesatyouman dont ring me again with that kinda bullshit 
surprise,    asan na yung MO? wait nmin kahapon pa. . heheheh ATAT LANG 
sadness, I'm dissappointed. We agreed at the river that waz gojng to be dedicated to me 
joy,I could listen to the music in FIFA all day 
surprise,I can't believe I'm in the library after a night like last night. 
anger,Throwing away opertunaties that I can't afford to throw away. My own fault. 
joy,No better feeling than being curled up under the warm covers for an afternoon nap. 
surprise,  is going to wear the mysterious shirt no. ) 
sadness,That was a good game wish the dolphins won though lol 
joy,Now that it's I can finally say it quot is here time for time for cheer quot 
surprise,"Damn,well I guess it rained pretty hard last night too while being windy as hell. . "
sadness,Gay marriage isn't legal yet and I found out my ex is already engaged. envy dieinafire 
surprise,Iemand nog leuke tips voor cadeau item? Maximaal euro 
joy,Break! In a mountain meadow you see wild horses running free. Connect with them amp feel the freedom. LJB 
joy,"Joy is what happens to us when we allow ourselves to recognize how good things really are dadslife, fatherhood, parenting "
joy,The guy fixed the heater. Now I can finally be warm. warm hotguy 
sadness,Received a sad news from overseas. I will miss you Tita Sarah. Thanks for loving us. U are safer there now w/o all d pain. 
sadness,Fuck . . . . YOU! RT  She has the ass of a year old Asian girl. . . 
joy,Time for everyone to tweet the power is back on. 
joy,Parents evening tonight 
joy,"everytime i try to forget about you, something always happens to make me remember. . . . "
sadness,So much for losing something. . Going to fat burger for dinner with dad 
anger,Just remember you have to walk through a parking lot sometime and I have a car  
joy,"    hey guys, wag kalimutan gift nyo sakin sa sunday ha! pabaon nyo. . . hehe thanks. "
disgust,"if you are quotaddicted to sexquot quotomg i'm so horneyquot and have a picture of yourself naked on twitter, you are not allowed to follow me "
surprise,Totally just forgot that I saw drake in the summer perform guest at the britney spears concert he was the best part of the show. . . 
disgust,The Saga Soundtracks Ruining indie music by exposing it to fake teenage fangirls since ! 
surprise, message me back. i have a proposition for you! 
fear,F. E. A. R. False Evidence Appearing Real 
joy,Helping my mom at the law firm 
disgust,was for and no passing tds. How does that encourage his rabid cult following? 
joy, you're home SO SOON! ! ! I cannot even begin to explain my excitement about seeing your face again and tucking into a carvery! ! 
surprise,Thought I saw the best of guys who need anger management. 
sadness," what! why? ! its not like its a human or plastic surgery? ? -__-, "
joy,I wonder how busy work will be tonight with this snow. . 
joy,Took the quotdetourquot to Abilene and am now at a complete standstill in a town inhabited by the Texas chainsaw family and their livestock. 
surprise," mental, if it's ur first time dinnae sit near half way, that's where the quotultra'squot sit. It's always "
joy,Untangling the solar Christmas lights to put up! 
disgust,"Right about now I wouldn't mind feeling like an idiot for getting mad when there was nothing wrong, but I know better. "
anger,"If Justin Bieber performs at the Sugar Bowl this year, I've lost all hope in humanity JustinDweeber signoftheapocolypse "
joy,I defy anyone to resist swaying to the jazz flute solo in Carpenter's This Masquerade. 
sadness,"Read through all issues of Ultimate X-Men, man was that series cut short our what! Ultimatum really screwed these guys over. "
fear,factor is coming back to TV! Guilty pleasure of mine 
fear," not afraid of tomorrow, for I have seen yesterday and I love today less” "
anger,is bad. DUMP IT! Fear is awful. FACE IT. Memories are sweet. CHERISH THEM 
joy,The moment when you realize that your paper is supposed to be double spaced not single spaced 
sadness,I Love You amp Ughhghghghg Im Sick Of Writing This Everyday amp You Dont Even Notice Me ( ! 
surprise," I thought it was a bottle of green Kool-Aid, turns out it was PJ "
joy,"Study all day tomorrow, most of the day Saturday and Sunday. "
disgust,"my sister got this purse, It smell like straight up KITTY LITTER. "
sadness, is riding to work on his motorcycle   always 
sadness,I never fail to get sick during dead week frustration mybodyhashorribletiming 
joy,Time for sleep ampamp then waking up early to study some more. 
fear,"! ! ! RT  not afraid of tomorrow, for I have seen yesterday and I love today less "
surprise,Good thing I always dress appropriately I came to visit the baby and the WHOLE family was there 
sadness,loss. . . feeling so many different emotions anger confusion helplessness RIPhalfbaked You left my life too soon 
sadness," you've abandoned me on the chats of late, forcing me to resort to tweeting "
joy,I gotta get started on this project amp english paper . -___- 
joy,     Oh yes. It would be so nice to be included on one of the fun trips! 
surprise,gedichtje en surprise af. Wordt een mooie avond. 
joy,when mom opens our neighbors mail on accident and for the record they already hate us 
sadness,Aw ( late and got the back of the class 
anger,I'm gonna start going to bed early so that my good day doesn't have time to turn into a bad night lovemylife sarcasm 
fear," not afraid of tomorrow, for I have seen yesterday and I love today less» "
joy," oh my heart! ! I'm crazy jealous, the most gorgeous sight you've ever seen? "
